year,practice_code,group_code,register,practice_list_size
2024-25,A81001,OB,548,3125
2024-25,A81002,OB,3152,15270
2024-25,A81004,OB,1922,9032
2024-25,A81005,OB,864,6412
2024-25,A81006,OB,2278,11645
2024-25,A81007,OB,1149,8436
2024-25,A81009,OB,1374,6495
2024-25,A81011,OB,1929,9588
2024-25,A81012,OB,909,4276
2024-25,A81013,OB,1028,6147
2024-25,A81014,OB,756,3416
2024-25,A81016,OB,1471,9403
2024-25,A81017,OB,2350,14456
2024-25,A81018,OB,1540,8174
2024-25,A81019,OB,1347,6824
2024-25,A81020,OB,1023,6181
2024-25,A81021,OB,3265,18042
2024-25,A81022,OB,1559,7686
2024-25,A81023,OB,1051,7028
2024-25,A81025,OB,512,3258
2024-25,A81026,OB,2221,15869
2024-25,A81027,OB,1451,11848
2024-25,A81029,OB,886,5773
2024-25,A81030,OB,1896,13181
2024-25,A81031,OB,2271,10782
2024-25,A81032,OB,1387,9603
2024-25,A81034,OB,2264,16170
2024-25,A81035,OB,1423,7725
2024-25,A81036,OB,2547,13064
2024-25,A81037,OB,572,5449
2024-25,A81038,OB,443,2751
2024-25,A81039,OB,1301,9980
2024-25,A81040,OB,1151,6806
2024-25,A81041,OB,1808,7636
2024-25,A81042,OB,1948,11935
2024-25,A81044,OB,3286,15279
2024-25,A81045,OB,813,5107
2024-25,A81046,OB,1133,9819
2024-25,A81048,OB,1076,5923
2024-25,A81049,OB,868,4899
2024-25,A81051,OB,990,5745
2024-25,A81052,OB,1850,8133
2024-25,A81053,OB,1142,4757
2024-25,A81054,OB,1467,6946
2024-25,A81056,OB,466,1959
2024-25,A81057,OB,1660,7780
2024-25,A81058,OB,1290,7226
2024-25,A81060,OB,1091,5046
2024-25,A81063,OB,848,4292
2024-25,A81064,OB,708,6841
2024-25,A81065,OB,610,2820
2024-25,A81066,OB,766,4425
2024-25,A81067,OB,1236,8671
2024-25,A81070,OB,991,4705
2024-25,A81602,OB,392,1869
2024-25,A81608,OB,2820,12320
2024-25,A81610,OB,1289,6245
2024-25,A81611,OB,1416,7284
2024-25,A81612,OB,636,3277
2024-25,A81618,OB,1196,8510
2024-25,A81621,OB,331,1890
2024-25,A81622,OB,797,4368
2024-25,A81629,OB,673,5484
2024-25,A81631,OB,1510,6009
2024-25,A81634,OB,134,2513
2024-25,A82003,OB,1153,10096
2024-25,A82004,OB,430,1900
2024-25,A82005,OB,554,5273
2024-25,A82006,OB,713,4336
2024-25,A82007,OB,1659,9219
2024-25,A82008,OB,1074,9819
2024-25,A82009,OB,1091,7410
2024-25,A82010,OB,872,5584
2024-25,A82012,OB,2327,14120
2024-25,A82013,OB,1024,5545
2024-25,A82014,OB,524,3746
2024-25,A82015,OB,1378,10946
2024-25,A82016,OB,6103,32075
2024-25,A82018,OB,1514,10957
2024-25,A82020,OB,2144,12432
2024-25,A82021,OB,1940,15278
2024-25,A82022,OB,616,4222
2024-25,A82023,OB,831,5250
2024-25,A82024,OB,865,5006
2024-25,A82025,OB,1144,9593
2024-25,A82026,OB,1962,14356
2024-25,A82027,OB,994,8515
2024-25,A82028,OB,634,7204
2024-25,A82029,OB,461,2998
2024-25,A82030,OB,553,5512
2024-25,A82031,OB,411,2810
2024-25,A82032,OB,2513,11189
2024-25,A82033,OB,791,6547
2024-25,A82035,OB,1891,12213
2024-25,A82036,OB,1290,9565
2024-25,A82037,OB,597,3789
2024-25,A82038,OB,647,3836
2024-25,A82039,OB,1065,7261
2024-25,A82041,OB,2418,11380
2024-25,A82044,OB,3996,18660
2024-25,A82045,OB,1676,7396
2024-25,A82046,OB,474,4213
2024-25,A82047,OB,5205,26797
2024-25,A82053,OB,806,6558
2024-25,A82055,OB,1244,5871
2024-25,A82062,OB,993,5123
2024-25,A82064,OB,732,5201
2024-25,A82068,OB,488,3930
2024-25,A82070,OB,633,5750
2024-25,A82071,OB,517,3484
2024-25,A82072,OB,1263,5984
2024-25,A82075,OB,1336,6225
2024-25,A82608,OB,355,3512
2024-25,A82613,OB,75,911
2024-25,A82617,OB,374,2297
2024-25,A82620,OB,115,850
2024-25,A82629,OB,268,2613
2024-25,A82631,OB,529,3165
2024-25,A82646,OB,613,3172
2024-25,A82647,OB,364,2862
2024-25,A82650,OB,323,2546
2024-25,A82651,OB,682,4195
2024-25,A82654,OB,975,6407
2024-25,A83001,OB,2466,12488
2024-25,A83003,OB,1649,7509
2024-25,A83005,OB,2196,9728
2024-25,A83006,OB,1463,6885
2024-25,A83007,OB,2027,8465
2024-25,A83008,OB,926,4316
2024-25,A83009,OB,1361,6561
2024-25,A83010,OB,2160,10943
2024-25,A83011,OB,1656,30943
2024-25,A83012,OB,2030,12579
2024-25,A83013,OB,1813,10373
2024-25,A83014,OB,642,5170
2024-25,A83015,OB,1294,8005
2024-25,A83016,OB,2143,8760
2024-25,A83018,OB,3014,13965
2024-25,A83020,OB,2148,10911
2024-25,A83021,OB,2445,12666
2024-25,A83022,OB,4431,21585
2024-25,A83023,OB,2200,9903
2024-25,A83024,OB,909,4545
2024-25,A83025,OB,2070,11128
2024-25,A83026,OB,1726,8681
2024-25,A83027,OB,1224,6209
2024-25,A83028,OB,1576,7885
2024-25,A83029,OB,970,4359
2024-25,A83030,OB,1777,11554
